"State","Year","Month","Population","BirthsPerThousandWomen","TreatedOriginal","Tau"
"Indiana",2022,5,1529186.00000083,4.26501419709339,"Control",-0.00870607857810857
"Iowa",2022,5,693548.833333574,4.28809026425051,"Control",-0.062938005770178
"Kansas",2022,5,646472.666666155,4.15949527126508,"Control",-0.0911754540895737
"Kentucky",2022,5,985850.666666316,4.18521804519562,"Control",-0.0367453159505127
"Louisiana",2022,5,1042739.75000103,4.20430888915061,"Control",-0.0737193824392817
"Maine",2022,5,282185.999999994,3.7315812974422,"Control",0.0505919616238648
"Maryland",2022,5,1390141.3333325,4.07224780981747,"Control",0.019954612855102
"Massachusetts",2022,5,1611308.50000053,3.57225199271158,"Control",-0.00491449326308224
"Michigan",2022,5,2174328.16666738,4.05274610111235,"Control",0.00651997073031652
"Minnesota",2022,5,1254809.33333358,4.453266206711,"Control",0.0427516533208028
"Mississippi",2022,5,666998.250000333,3.98801646031106,"Control",-0.106852284310969
"Missouri",2022,5,1365559.49999921,4.07085886774118,"Control",-0.0941511126203061
"Montana",2022,5,237738.750001181,4.26939234767138,"Control",0.0599297633768687
"Nebraska",2022,5,433772.583332451,4.5922681067035,"Control",-0.123953508618548
"Nevada",2022,5,715591.916666215,3.72838197003346,"Control",0.00602473028974959
"New Hampshire",2022,5,290392.416666527,3.64678944497405,"Control",-0.00659518734721898
"New Jersey",2022,5,2038659.583333,4.08699915773974,"Control",-0.033549334382375
"New Mexico",2022,5,462200.75000097,3.82734125809248,"Control",0.0204200465170441
"New York",2022,5,4459513.16666751,3.88831680767472,"Control",0.00803607114480709
"North Carolina",2022,5,2420964.75000019,3.99551459805404,"Control",-0.0214972950362355
"North Dakota",2022,5,171039.666667452,4.97545403695493,"Control",0.138676350559817
"Ohio",2022,5,2564150.91666572,4.14679180187513,"Control",-0.0108140019243796
"Oklahoma",2022,5,906810.083334283,4.1982329817087,"Control",-0.0466364137407869
"Oregon",2022,5,960555.083333164,3.45737590443642,"Control",-0.0105741334070131
"Pennsylvania",2022,5,2807341.99999944,3.85026120793339,"Control",-0.0114025724605216
"Rhode Island",2022,5,245910.000000447,3.44434955877541,"Control",-0.021930505559987
"South Carolina",2022,5,1159056.75000122,3.95407731329393,"Control",-0.00210052583882936
"South Dakota",2022,5,189832.000002314,5.27308356856481,"Control",0.098548421995309
"Tennessee",2022,5,1591456.16666593,4.0409532695285,"Control",-0.069898868245498
"Texas",2022,5,7167946.99999585,4.24835730509972,"Control",0.0183372502843628
"Utah",2022,5,839517.75000064,4.67053853238602,"Control",-0.0667795663978676
"Vermont",2022,5,137589.83333345,3.38687814869755,"Control",0.0255913974803179
"Virginia",2022,5,1955399.33333267,3.9771927234655,"Control",-0.0183975163926937
"Washington",2022,5,1772348.00000099,3.97382455364075,"Control",-0.00785341237439718
"West Virginia",2022,5,366399.083334634,3.68723629902241,"Control",-0.11942950142043
"Wisconsin",2022,5,1266415.66666641,3.98052561468181,"Control",-0.034393601737468
"Wyoming",2022,5,123967.583332883,4.42857709443122,"Control",0.0501796720188006
"Alabama",2022,6,1141010.45833107,4.12704367923828,"Control",-0.014353048314673
"Alaska",2022,6,159712.666667736,5.1091752271446,"Control",0.0499470586548147
"Arizona",2022,6,1629989.08333231,3.84542452712988,"Control",-0.0697596971752361
"Arkansas",2022,6,676141.374999164,4.42954700117812,"Control",0.107017736622061
"California",2022,6,9084266.45832849,3.76365005989608,"Control",0.00112149403181361
"Colorado",2022,6,1372755.04166533,3.87687521696785,"Control",0.0164235275674525
"Connecticut",2022,6,805061.124998516,3.70158228669344,"Control",-0.0171679307307704
"Delaware",2022,6,215568.375001334,4.31417641847625,"Control",0.0570024315432178
"DC",2022,6,197171.833333297,3.499485643234,"Control",-0.0203890882230779
"Florida",2022,6,4670657.6666673,3.87504315059647,"Control",-0.0025388995400295
"Georgia",2022,6,2585428.9166648,4.0279583526257,"Control",0.0205873709615529
"Hawaii",2022,6,295567.708331507,4.23929937094021,"Control",-0.053837697858401
"Idaho",2022,6,436239.250000895,4.42876242794759,"Control",0.0535684494875319
"Illinois",2022,6,2850218.25000081,3.86917738667797,"Control",0.0146684736011289
"Indiana",2022,6,1529591.83333422,4.40378920258538,"Control",0.00823847360186125
"Iowa",2022,6,693741.750000261,4.38779992698847,"Control",-0.050280474738007
"Kansas",2022,6,646558.333332786,4.39558173405711,"Control",-0.0211789594850993
"Kentucky",2022,6,985759.666666295,4.31241015812333,"Control",-0.0416379763718417
"Louisiana",2022,6,1042047.29166775,4.2397308023604,"Control",-0.169795119332762
"Maine",2022,6,282406.499999994,3.76407766818406,"Control",0.031140028178295
"Maryland",2022,6,1389726.99999911,4.16700546222656,"Control",0.0171423823310812
"Massachusetts",2022,6,1611053.75000056,3.60012817697609,"Control",-0.0490252009515726
"Michigan",2022,6,2173635.5833341,4.11062464587314,"Control",0.0233480533092285
"Minnesota",2022,6,1254871.8333336,4.48810774964838,"Control",0.0625257634110952
"Mississippi",2022,6,666817.20833369,4.29203080579137,"Control",0.0173170824597157
"Missouri",2022,6,1365873.91666582,4.3495962017507,"Control",0.0947142288786438
"Montana",2022,6,238224.958334594,4.25228324975595,"Control",0.0484778999768851
"Nebraska",2022,6,433877.041665721,4.82855693852104,"Control",0.070088341581382
"Nevada",2022,6,716182.374999517,3.70157112565328,"Control",-0.0755478743782518
"New Hampshire",2022,6,290378.624999848,3.50232390555789,"Control",-0.0478178219125298
"New Jersey",2022,6,2038231.04166629,4.23798863986404,"Control",0.00122473837230341
"New Mexico",2022,6,462282.625001042,3.74013624240388,"Control",-0.0556636004452016
"New York",2022,6,4453196.91666753,3.96344476345503,"Control",-0.00133008042054517
"North Carolina",2022,6,2423332.95833352,4.04773102526755,"Control",-0.072857921980046
"North Dakota",2022,6,171124.166667509,4.54640636182988,"Control",-0.286994150489305
"Ohio",2022,6,2563534.37499898,4.25545298178587,"Control",0.0239130243552648
"Oklahoma",2022,6,907625.625001013,4.32557201103221,"Control",-0.0559239740714643
"Oregon",2022,6,960580.291666489,3.50517289310472,"Control",-0.0136333549326699
"Pennsylvania",2022,6,2807403.49999941,3.91500544898598,"Control",-0.00409150725600815
"Rhode Island",2022,6,245842.500000485,3.63240692719216,"Control",0.0325951515400398
"South Carolina",2022,6,1160350.95833464,4.02981526098889,"Control",-0.0463516068473204
"South Dakota",2022,6,190099.500002481,5.24462189530739,"Control",0.0447279168907757
"Tennessee",2022,6,1592603.24999922,4.25215759166844,"Control",0.00356649503244721
"Texas",2022,6,7176859.66666225,4.47939648999032,"Control",0.0943659081211328
"Utah",2022,6,840824.791667362,4.69301100432,"Control",-0.0329949316338425
"Vermont",2022,6,137639.083333462,3.56730071218537,"Control",0.0740295647289471
"Virginia",2022,6,1955486.9999993,4.18412395480151,"Control",0.0632580461726189
"Washington",2022,6,1773120.3333344,3.99747262875884,"Control",-0.00355711829521521
"West Virginia",2022,6,366236.791668063,3.88000340852679,"Control",0.0106879900909811
"Wisconsin",2022,6,1266365.1666664,4.06201949911585,"Control",-0.0371471902141067
"Wyoming",2022,6,124040.37499952,3.92614098435194,"Control",-0.140455031364871
"Alabama",2022,7,1141370.83333094,4.3859540245922,"Control",-0.0264103940601643
"Alaska",2022,7,159702.666667817,5.08444860027898,"Control",0.010152323266726
"Arizona",2022,7,1632072.9999989,4.12971723691559,"Control",-0.0429367153685307
"Arkansas",2022,7,676503.499999111,4.48186890386226,"Control",-0.0739753293457994
"California",2022,7,9078243.49999482,4.03514182011321,"Control",5.10417459151924e-05
"Colorado",2022,7,1373583.16666524,4.03033477284102,"Control",-0.0183513065025869
"Connecticut",2022,7,805519.499998412,3.91424416169468,"Control",-0.00403790773915347
