"Notes"	"State of Residence"	"State of Residence Code"	"Month"	"Month Code"	"Year"	"Year Code"	Births
	"Alabama"	"01"	"January"	"1"	"2023"	"2023"	4996
	"Alabama"	"01"	"January"	"1"	"2024"	"2024"	4954
"Total"	"Alabama"	"01"	"January"	"1"			9950
	"Alabama"	"01"	"February"	"2"	"2023"	"2023"	4406
	"Alabama"	"01"	"February"	"2"	"2024"	"2024"	4474
"Total"	"Alabama"	"01"	"February"	"2"			8880
	"Alabama"	"01"	"March"	"3"	"2023"	"2023"	4911
"Total"	"Alabama"	"01"	"March"	"3"			4911
	"Alabama"	"01"	"April"	"4"	"2023"	"2023"	4377
"Total"	"Alabama"	"01"	"April"	"4"			4377
	"Alabama"	"01"	"May"	"5"	"2023"	"2023"	4639
"Total"	"Alabama"	"01"	"May"	"5"			4639
	"Alabama"	"01"	"June"	"6"	"2023"	"2023"	4824
"Total"	"Alabama"	"01"	"June"	"6"			4824
	"Alabama"	"01"	"July"	"7"	"2023"	"2023"	4899
"Total"	"Alabama"	"01"	"July"	"7"			4899
	"Alabama"	"01"	"August"	"8"	"2023"	"2023"	5159
"Total"	"Alabama"	"01"	"August"	"8"			5159
	"Alabama"	"01"	"September"	"9"	"2023"	"2023"	4992
"Total"	"Alabama"	"01"	"September"	"9"			4992
	"Alabama"	"01"	"October"	"10"	"2023"	"2023"	4956
"Total"	"Alabama"	"01"	"October"	"10"			4956
	"Alabama"	"01"	"November"	"11"	"2023"	"2023"	4838
"Total"	"Alabama"	"01"	"November"	"11"			4838
	"Alabama"	"01"	"December"	"12"	"2023"	"2023"	4826
"Total"	"Alabama"	"01"	"December"	"12"			4826
"Total"	"Alabama"	"01"					67251
	"Alaska"	"02"	"January"	"1"	"2023"	"2023"	759
	"Alaska"	"02"	"January"	"1"	"2024"	"2024"	754
"Total"	"Alaska"	"02"	"January"	"1"			1513
	"Alaska"	"02"	"February"	"2"	"2023"	"2023"	682
	"Alaska"	"02"	"February"	"2"	"2024"	"2024"	643
"Total"	"Alaska"	"02"	"February"	"2"			1325
	"Alaska"	"02"	"March"	"3"	"2023"	"2023"	758
"Total"	"Alaska"	"02"	"March"	"3"			758
	"Alaska"	"02"	"April"	"4"	"2023"	"2023"	712
"Total"	"Alaska"	"02"	"April"	"4"			712
	"Alaska"	"02"	"May"	"5"	"2023"	"2023"	767
"Total"	"Alaska"	"02"	"May"	"5"			767
	"Alaska"	"02"	"June"	"6"	"2023"	"2023"	776
"Total"	"Alaska"	"02"	"June"	"6"			776
	"Alaska"	"02"	"July"	"7"	"2023"	"2023"	771
"Total"	"Alaska"	"02"	"July"	"7"			771
	"Alaska"	"02"	"August"	"8"	"2023"	"2023"	738
"Total"	"Alaska"	"02"	"August"	"8"			738
	"Alaska"	"02"	"September"	"9"	"2023"	"2023"	776
"Total"	"Alaska"	"02"	"September"	"9"			776
	"Alaska"	"02"	"October"	"10"	"2023"	"2023"	753
"Total"	"Alaska"	"02"	"October"	"10"			753
	"Alaska"	"02"	"November"	"11"	"2023"	"2023"	770
"Total"	"Alaska"	"02"	"November"	"11"			770
	"Alaska"	"02"	"December"	"12"	"2023"	"2023"	748
"Total"	"Alaska"	"02"	"December"	"12"			748
"Total"	"Alaska"	"02"					10407
	"Arizona"	"04"	"January"	"1"	"2023"	"2023"	6573
	"Arizona"	"04"	"January"	"1"	"2024"	"2024"	6506
"Total"	"Arizona"	"04"	"January"	"1"			13079
	"Arizona"	"04"	"February"	"2"	"2023"	"2023"	6038
	"Arizona"	"04"	"February"	"2"	"2024"	"2024"	6103
"Total"	"Arizona"	"04"	"February"	"2"			12141
	"Arizona"	"04"	"March"	"3"	"2023"	"2023"	6434
"Total"	"Arizona"	"04"	"March"	"3"			6434
	"Arizona"	"04"	"April"	"4"	"2023"	"2023"	5976
"Total"	"Arizona"	"04"	"April"	"4"			5976
	"Arizona"	"04"	"May"	"5"	"2023"	"2023"	6173
"Total"	"Arizona"	"04"	"May"	"5"			6173
	"Arizona"	"04"	"June"	"6"	"2023"	"2023"	6175
"Total"	"Arizona"	"04"	"June"	"6"			6175
	"Arizona"	"04"	"July"	"7"	"2023"	"2023"	6604
"Total"	"Arizona"	"04"	"July"	"7"			6604
	"Arizona"	"04"	"August"	"8"	"2023"	"2023"	7166
"Total"	"Arizona"	"04"	"August"	"8"			7166
	"Arizona"	"04"	"September"	"9"	"2023"	"2023"	6882
"Total"	"Arizona"	"04"	"September"	"9"			6882
	"Arizona"	"04"	"October"	"10"	"2023"	"2023"	6843
"Total"	"Arizona"	"04"	"October"	"10"			6843
	"Arizona"	"04"	"November"	"11"	"2023"	"2023"	6596
"Total"	"Arizona"	"04"	"November"	"11"			6596
	"Arizona"	"04"	"December"	"12"	"2023"	"2023"	6640
"Total"	"Arizona"	"04"	"December"	"12"			6640
"Total"	"Arizona"	"04"					90709
	"Arkansas"	"05"	"January"	"1"	"2023"	"2023"	3006
	"Arkansas"	"05"	"January"	"1"	"2024"	"2024"	2988
"Total"	"Arkansas"	"05"	"January"	"1"			5994
	"Arkansas"	"05"	"February"	"2"	"2023"	"2023"	2682
	"Arkansas"	"05"	"February"	"2"	"2024"	"2024"	2751
"Total"	"Arkansas"	"05"	"February"	"2"			5433
	"Arkansas"	"05"	"March"	"3"	"2023"	"2023"	2856
"Total"	"Arkansas"	"05"	"March"	"3"			2856
	"Arkansas"	"05"	"April"	"4"	"2023"	"2023"	2666
"Total"	"Arkansas"	"05"	"April"	"4"			2666
	"Arkansas"	"05"	"May"	"5"	"2023"	"2023"	2887
"Total"	"Arkansas"	"05"	"May"	"5"			2887
	"Arkansas"	"05"	"June"	"6"	"2023"	"2023"	2940
"Total"	"Arkansas"	"05"	"June"	"6"			2940
	"Arkansas"	"05"	"July"	"7"	"2023"	"2023"	2992
"Total"	"Arkansas"	"05"	"July"	"7"			2992
	"Arkansas"	"05"	"August"	"8"	"2023"	"2023"	3197
"Total"	"Arkansas"	"05"	"August"	"8"			3197
	"Arkansas"	"05"	"September"	"9"	"2023"	"2023"	3031
"Total"	"Arkansas"	"05"	"September"	"9"			3031
	"Arkansas"	"05"	"October"	"10"	"2023"	"2023"	3130
"Total"	"Arkansas"	"05"	"October"	"10"			3130
	"Arkansas"	"05"	"November"	"11"	"2023"	"2023"	2945
"Total"	"Arkansas"	"05"	"November"	"11"			2945
	"Arkansas"	"05"	"December"	"12"	"2023"	"2023"	2947
"Total"	"Arkansas"	"05"	"December"	"12"			2947
"Total"	"Arkansas"	"05"					41018
	"California"	"06"	"January"	"1"	"2023"	"2023"	33786
	"California"	"06"	"January"	"1"	"2024"	"2024"	32726
"Total"	"California"	"06"	"January"	"1"			66512
	"California"	"06"	"February"	"2"	"2023"	"2023"	30528
	"California"	"06"	"February"	"2"	"2024"	"2024"	30915
"Total"	"California"	"06"	"February"	"2"			61443
	"California"	"06"	"March"	"3"	"2023"	"2023"	33078
"Total"	"California"	"06"	"March"	"3"			33078
	"California"	"06"	"April"	"4"	"2023"	"2023"	30921
"Total"	"California"	"06"	"April"	"4"			30921
	"California"	"06"	"May"	"5"	"2023"	"2023"	32782
"Total"	"California"	"06"	"May"	"5"			32782
	"California"	"06"	"June"	"6"	"2023"	"2023"	32647
"Total"	"California"	"06"	"June"	"6"			32647
	"California"	"06"	"July"	"7"	"2023"	"2023"	34263
"Total"	"California"	"06"	"July"	"7"			34263
	"California"	"06"	"August"	"8"	"2023"	"2023"	35953
"Total"	"California"	"06"	"August"	"8"			35953
	"California"	"06"	"September"	"9"	"2023"	"2023"	34413
"Total"	"California"	"06"	"September"	"9"			34413
	"California"	"06"	"October"	"10"	"2023"	"2023"	34802
"Total"	"California"	"06"	"October"	"10"			34802
	"California"	"06"	"November"	"11"	"2023"	"2023"	33356
"Total"	"California"	"06"	"November"	"11"			33356
	"California"	"06"	"December"	"12"	"2023"	"2023"	33405
"Total"	"California"	"06"	"December"	"12"			33405
"Total"	"California"	"06"					463575
	"Colorado"	"08"	"January"	"1"	"2023"	"2023"	4879
	"Colorado"	"08"	"January"	"1"	"2024"	"2024"	5123
"Total"	"Colorado"	"08"	"January"	"1"			10002
	"Colorado"	"08"	"February"	"2"	"2023"	"2023"	4653
	"Colorado"	"08"	"February"	"2"	"2024"	"2024"	4986
"Total"	"Colorado"	"08"	"February"	"2"			9639
	"Colorado"	"08"	"March"	"3"	"2023"	"2023"	5253
"Total"	"Colorado"	"08"	"March"	"3"			5253
	"Colorado"	"08"	"April"	"4"	"2023"	"2023"	5101
"Total"	"Colorado"	"08"	"April"	"4"			5101
	"Colorado"	"08"	"May"	"5"	"2023"	"2023"	5276
"Total"	"Colorado"	"08"	"May"	"5"			5276
	"Colorado"	"08"	"June"	"6"	"2023"	"2023"	5249
"Total"	"Colorado"	"08"	"June"	"6"			5249
	"Colorado"	"08"	"July"	"7"	"2023"	"2023"	5259
"Total"	"Colorado"	"08"	"July"	"7"			5259
	"Colorado"	"08"	"August"	"8"	"2023"	"2023"	5558
"Total"	"Colorado"	"08"	"August"	"8"			5558
	"Colorado"	"08"	"September"	"9"	"2023"	"2023"	5181
"Total"	"Colorado"	"08"	"September"	"9"			5181
	"Colorado"	"08"	"October"	"10"	"2023"	"2023"	5177
"Total"	"Colorado"	"08"	"October"	"10"			5177
	"Colorado"	"08"	"November"	"11"	"2023"	"2023"	4997
"Total"	"Colorado"	"08"	"November"	"11"			4997
	"Colorado"	"08"	"December"	"12"	"2023"	"2023"	4936
"Total"	"Colorado"	"08"	"December"	"12"			4936
"Total"	"Colorado"	"08"					71628
	"Connecticut"	"09"	"January"	"1"	"2023"	"2023"	2748
	"Connecticut"	"09"	"January"	"1"	"2024"	"2024"	2720
"Total"	"Connecticut"	"09"	"January"	"1"			5468
	"Connecticut"	"09"	"February"	"2"	"2023"	"2023"	2637
	"Connecticut"	"09"	"February"	"2"	"2024"	"2024"	2729
"Total"	"Connecticut"	"09"	"February"	"2"			5366
	"Connecticut"	"09"	"March"	"3"	"2023"	"2023"	2874
"Total"	"Connecticut"	"09"	"March"	"3"			2874
	"Connecticut"	"09"	"April"	"4"	"2023"	"2023"	2787
"Total"	"Connecticut"	"09"	"April"	"4"			2787
	"Connecticut"	"09"	"May"	"5"	"2023"	"2023"	2934
"Total"	"Connecticut"	"09"	"May"	"5"			2934
	"Connecticut"	"09"	"June"	"6"	"2023"	"2023"	2884
"Total"	"Connecticut"	"09"	"June"	"6"			2884
	"Connecticut"	"09"	"July"	"7"	"2023"	"2023"	3054
"Total"	"Connecticut"	"09"	"July"	"7"			3054
	"Connecticut"	"09"	"August"	"8"	"2023"	"2023"	3149
"Total"	"Connecticut"	"09"	"August"	"8"			3149
	"Connecticut"	"09"	"September"	"9"	"2023"	"2023"	2886
"Total"	"Connecticut"	"09"	"September"	"9"			2886
	"Connecticut"	"09"	"October"	"10"	"2023"	"2023"	2987
"Total"	"Connecticut"	"09"	"October"	"10"			2987
	"Connecticut"	"09"	"November"	"11"	"2023"	"2023"	2788
"Total"	"Connecticut"	"09"	"November"	"11"			2788
	"Connecticut"	"09"	"December"	"12"	"2023"	"2023"	2829
"Total"	"Connecticut"	"09"	"December"	"12"			2829
"Total"	"Connecticut"	"09"					40006
	"Delaware"	"10"	"January"	"1"	"2023"	"2023"	885
	"Delaware"	"10"	"January"	"1"	"2024"	"2024"	860
"Total"	"Delaware"	"10"	"January"	"1"			1745
	"Delaware"	"10"	"February"	"2"	"2023"	"2023"	774
	"Delaware"	"10"	"February"	"2"	"2024"	"2024"	781
"Total"	"Delaware"	"10"	"February"	"2"			1555
	"Delaware"	"10"	"March"	"3"	"2023"	"2023"	900
"Total"	"Delaware"	"10"	"March"	"3"			900
	"Delaware"	"10"	"April"	"4"	"2023"	"2023"	809
"Total"	"Delaware"	"10"	"April"	"4"			809
	"Delaware"	"10"	"May"	"5"	"2023"	"2023"	900
"Total"	"Delaware"	"10"	"May"	"5"			900
	"Delaware"	"10"	"June"	"6"	"2023"	"2023"	888
"Total"	"Delaware"	"10"	"June"	"6"			888
	"Delaware"	"10"	"July"	"7"	"2023"	"2023"	854
"Total"	"Delaware"	"10"	"July"	"7"			854
	"Delaware"	"10"	"August"	"8"	"2023"	"2023"	966
"Total"	"Delaware"	"10"	"August"	"8"			966
	"Delaware"	"10"	"September"	"9"	"2023"	"2023"	874
"Total"	"Delaware"	"10"	"September"	"9"			874
	"Delaware"	"10"	"October"	"10"	"2023"	"2023"	873
"Total"	"Delaware"	"10"	"October"	"10"			873
	"Delaware"	"10"	"November"	"11"	"2023"	"2023"	868
"Total"	"Delaware"	"10"	"November"	"11"			868
	"Delaware"	"10"	"December"	"12"	"2023"	"2023"	836
"Total"	"Delaware"	"10"	"December"	"12"			836
"Total"	"Delaware"	"10"					12068
	"District of Columbia"	"11"	"January"	"1"	"2023"	"2023"	668
	"District of Columbia"	"11"	"January"	"1"	"2024"	"2024"	612
"Total"	"District of Columbia"	"11"	"January"	"1"			1280
	"District of Columbia"	"11"	"February"	"2"	"2023"	"2023"	611
	"District of Columbia"	"11"	"February"	"2"	"2024"	"2024"	591
"Total"	"District of Columbia"	"11"	"February"	"2"			1202
	"District of Columbia"	"11"	"March"	"3"	"2023"	"2023"	693
"Total"	"District of Columbia"	"11"	"March"	"3"			693
	"District of Columbia"	"11"	"April"	"4"	"2023"	"2023"	610
"Total"	"District of Columbia"	"11"	"April"	"4"			610
	"District of Columbia"	"11"	"May"	"5"	"2023"	"2023"	687
"Total"	"District of Columbia"	"11"	"May"	"5"			687
	"District of Columbia"	"11"	"June"	"6"	"2023"	"2023"	638
"Total"	"District of Columbia"	"11"	"June"	"6"			638
	"District of Columbia"	"11"	"July"	"7"	"2023"	"2023"	700
"Total"	"District of Columbia"	"11"	"July"	"7"			700
	"District of Columbia"	"11"	"August"	"8"	"2023"	"2023"	677
"Total"	"District of Columbia"	"11"	"August"	"8"			677
